38,31,67,0,3,0,0,0,1,0,1,8,0,0,0
8,173,41,0,0,0,0,0,0,0,0,0,0,0,0
1,0,139,0,1,0,0,0,0,0,0,7,0,2,0
0,3,20,0,0,0,0,0,0,0,0,0,0,0,0
7,14,114,0,1,0,0,0,0,0,0,13,0,1,0
0,4,162,0,0,4,0,0,0,0,6,14,0,18,3
0,0,33,0,0,0,0,0,0,0,6,5,0,11,1
16,8,105,0,9,6,0,158,16,0,59,80,0,24,0
26,7,206,0,0,4,0,1,6,0,1,47,0,19,2
7,6,77,0,0,3,0,0,0,0,4,31,0,21,1
1,17,151,0,3,1,0,0,1,0,45,8,0,8,4
4,2,56,0,1,2,0,1,1,0,0,172,0,47,0
5,5,57,0,0,0,0,0,0,0,3,49,0,24,0
5,1,136,0,0,0,0,1,5,0,2,51,0,65,0
2,26,152,0,2,11,0,2,0,0,36,9,0,6,5
